session_id	event_id	subevent_id	t_start	t_end	label	date_labeled
2021_03_05_20_10_07	430	0	0.0	0.25	bark	2021-03-15 22:41:29.135011
2021_03_05_20_10_07	430	1	0.25	0.5	none	2021-03-15 22:41:44.855221
2021_01_19_13_59_02	39	0	0.0	0.25	howl	2021-03-15 22:42:07.451854
2021_01_19_13_59_02	39	1	0.25	0.5	howl	2021-03-15 22:42:08.434805
2021_01_19_13_59_02	39	2	0.5	0.75	howl	2021-03-15 22:42:09.842651
2021_01_19_13_59_02	39	3	0.75	1.0	howl	2021-03-15 22:42:10.959118
2021_01_19_13_59_02	39	4	1.0	1.25	howl	2021-03-15 22:42:12.299899
2021_01_19_13_59_02	39	5	1.25	1.5	howl	2021-03-15 22:42:13.635911
2021_01_19_13_59_02	39	6	1.5	1.75	howl	2021-03-15 22:42:44.608062
2021_02_11_16_56_39	7	0	0.0	0.25	whine	2021-03-15 22:42:55.567570
2020_12_08_15_49_07	11	0	0.0	0.25	whine	2021-03-15 22:43:26.340451
2020_10_31_13_32_33	374	0	0.0	0.25	play	2021-03-15 22:43:50.975090
2020_10_31_13_32_33	374	1	0.25	0.5	play	2021-03-15 22:43:53.032626
2020_10_31_13_32_33	374	2	0.5	0.75	play	2021-03-15 22:43:55.536371
2020_10_31_13_32_33	374	3	0.75	1.0	play	2021-03-15 22:43:57.328929
2020_12_13_17_59_45	73	0	0.0	0.25	whine	2021-03-15 22:49:01.181361
2020_12_13_17_59_45	73	1	0.25	0.5	whine	2021-03-15 22:49:09.661150
2020_12_13_17_59_45	73	2	0.5	0.75	howl	2021-03-15 22:49:11.741379
2020_12_13_17_59_45	73	3	0.75	1.0	howl	2021-03-15 22:49:13.347696
2020_12_13_17_59_45	73	4	1.0	1.25	howl	2021-03-15 22:49:15.749767
2020_12_13_17_59_45	73	5	1.25	1.5	howl	2021-03-15 22:49:17.268982
2020_12_13_17_59_45	73	6	1.5	1.75	howl	2021-03-15 22:49:19.269151
2020_12_13_17_59_45	73	7	1.75	2.0	whine	2021-03-15 22:49:34.983664
2020_11_08_17_09_57	139	0	0.0	0.25	play	2021-03-15 22:49:43.533656
2021_01_12_20_41_21	48	0	0.0	0.25	play	2021-03-15 22:49:50.846015
2021_01_16_14_38_31	21	0	0.0	0.25	whine	2021-03-15 22:50:30.964574
2021_01_16_14_38_31	21	1	0.25	0.5	whine	2021-03-15 22:50:31.742478
2021_01_16_14_38_31	21	2	0.5	0.75	whine	2021-03-15 22:50:32.386324
2021_01_16_14_38_31	21	3	0.75	1.0	whine	2021-03-15 22:50:32.992773
2021_01_16_14_38_31	21	4	1.0	1.25	whine	2021-03-15 22:50:33.554422
2021_01_16_14_38_31	21	5	1.25	1.5	whine	2021-03-15 22:50:34.113788
2021_01_16_14_38_31	21	6	1.5	1.75	whine	2021-03-15 22:50:34.646523
2021_01_16_14_38_31	21	7	1.75	2.0	whine	2021-03-15 22:50:35.218525
2020_12_03_10_15_10	5	0	0.0	0.25	play	2021-03-15 22:50:40.857996
2021_02_14_14_11_26	283	0	0.0	0.25	bark	2021-03-15 22:50:47.746683
2021_02_14_14_11_26	283	1	0.25	0.5	bark	2021-03-15 22:50:50.893648
2021_02_14_14_11_26	283	2	0.5	0.75	bark	2021-03-15 22:50:53.215661
2021_02_14_14_11_26	283	3	0.75	1.0	bark	2021-03-15 22:50:55.082640
